,Filename,Camera View,Activity Type,Start Time,End Time,Label/Class ID,Appearance Block
79336,Rightside_window_user_id_79336_0,Rightside_window,Distracted Behavior,0:00:00,0:01:28,NA,None
,,Rightside_window,Distracted Behavior,0:01:32,0:01:49,2,None
,,Rightside_window,Distracted Behavior,0:01:56,0:02:15,9,None
,,Rightside_window,Distracted Behavior,0:02:27,0:02:41,11,None
,,Rightside_window,Distracted Behavior,0:02:56,0:03:12,1,None
,,Rightside_window,Distracted Behavior,0:03:20,0:03:45,0,None
,,Rightside_window,Distracted Behavior,0:03:48,0:04:08,3,None
,,Rightside_window,Distracted Behavior,0:04:16,0:04:40,13,None
,,Rightside_window,Distracted Behavior,0:04:50,0:05:09,6,None
,,Rightside_window,Distracted Behavior,0:05:14,0:05:32,12,None
,,Rightside_window,Distracted Behavior,0:05:41,0:06:00,10,None
,,Rightside_window,Distracted Behavior,0:06:04,0:06:30,14,None
,,Rightside_window,Distracted Behavior,0:06:40,0:07:12,17,None
,,Rightside_window,Distracted Behavior,0:07:13,0:07:43,15,None
,,Rightside_window,Distracted Behavior,0:07:45,0:08:05,4,None
,,Rightside_window,Distracted Behavior,0:08:19,0:08:35,5,None
,,Rightside_window,Distracted Behavior,0:08:47,0:09:13,7,None
,,Rightside_window,Distracted Behavior,0:09:20,0:09:43,16,None
,,Rightside_window,Distracted Behavior,0:09:49,0:10:16,8,None
,Rightside_window_user_id_79336_2,Rightside_window,Distracted Behavior,0:00:11,0:00:32,2,Hat
,,Rightside_window,Distracted Behavior,0:00:42,0:01:05,9,Hat
,,Rightside_window,Distracted Behavior,0:01:14,0:01:38,11,Hat
,,Rightside_window,Distracted Behavior,0:01:46,0:02:03,1,Hat
,,Rightside_window,Distracted Behavior,0:02:07,0:02:27,0,Hat
,,Rightside_window,Distracted Behavior,0:02:32,0:02:55,3,Hat
,,Rightside_window,Distracted Behavior,0:03:00,0:03:22,13,Hat
,,Rightside_window,Distracted Behavior,0:03:33,0:03:56,5,Hat
,,Rightside_window,Distracted Behavior,0:04:00,0:04:18,12,Hat
,,Rightside_window,Distracted Behavior,0:04:28,0:04:45,10,Hat
,,Rightside_window,Distracted Behavior,0:04:56,0:05:10,14,Hat
,,Rightside_window,Distracted Behavior,0:05:25,0:05:57,17,Hat
,,Rightside_window,Distracted Behavior,0:05:58,0:06:29,15,Hat
,,Rightside_window,Distracted Behavior,0:06:32,0:06:50,4,Hat
,,Rightside_window,Distracted Behavior,0:07:08,0:07:19,5,Hat
,,Rightside_window,Distracted Behavior,0:07:24,0:07:41,7,Hat
,,Rightside_window,Distracted Behavior,0:08:06,0:08:30,16,Hat
,,Rightside_window,Distracted Behavior,0:08:32,0:09:04,8,Hat
,Rear_view_user_id_79336_2,Rear_view,Distracted Behavior,0:00:11,0:00:32,2,Hat
,,Rear_view,Distracted Behavior,0:00:42,0:01:05,9,Hat
,,Rear_view,Distracted Behavior,0:01:14,0:01:38,11,Hat
,,Rear_view,Distracted Behavior,0:01:46,0:02:03,1,Hat
,,Rear_view,Distracted Behavior,0:02:07,0:02:27,0,Hat
,,Rear_view,Distracted Behavior,0:02:32,0:02:55,3,Hat
,,Rear_view,Distracted Behavior,0:03:00,0:03:22,13,Hat
,,Rear_view,Distracted Behavior,0:03:33,0:03:56,5,Hat
