,Filename,Camera View,Activity Type,Start Time,End Time,Label/Class ID,Appearance Block
72519,Rightside_window_user_id_72519_3,Rightside_window,Distracted Behavior,0:00,0:10,NA,Hat
,,Rightside_window,Distracted Behavior,0:22,0:45,5,Hat
,,Rightside_window,Distracted Behavior,0:55,1:20,16,Hat
,,Rightside_window,Distracted Behavior,1:29,1:54,17,Hat
,,Rightside_window,Distracted Behavior,2:03,2:19,12,Hat
,,Rightside_window,Distracted Behavior,2:30,2:47,3,Hat
,,Rightside_window,Distracted Behavior,2:56,3:08,7,Hat
,,Rightside_window,Distracted Behavior,3:23,3:47,4,Hat
,,Rightside_window,Distracted Behavior,3:56,4:12,6,Hat
,,Rightside_window,Distracted Behavior,4:22,4:42,1,Hat
,,Rightside_window,Distracted Behavior,4:51,5:09,9,Hat
,,Rightside_window,Distracted Behavior,5:18,5:24,14,Hat
,,Rightside_window,Distracted Behavior,5:43,5:59,0,Hat
,,Rightside_window,Distracted Behavior,6:22,6:45,13,Hat
,,Rightside_window,Distracted Behavior,6:52,7:18,10,Hat
,,Rightside_window,Distracted Behavior,7:28,7:49,15,Hat
,,Rightside_window,Distracted Behavior,8:01,8:19,2,Hat
,,Rightside_window,Distracted Behavior,8:29,8:51,11,Hat
,,Rightside_window,Distracted Behavior,9:01,9:23,8,Hat
,Rightside_window_user_id_72519_2,Rightside_window,Distracted Behavior,0:00,1:50,NA,No
,,Rightside_window,Distracted Behavior,1:57,2:20,5,No
,,Rightside_window,Distracted Behavior,2:28,2:50,16,No
,,Rightside_window,Distracted Behavior,3:01,3:26,17,No
,,Rightside_window,Distracted Behavior,3:36,3:50,12,No
,,Rightside_window,Distracted Behavior,4:03,4:19,3,No
,,Rightside_window,Distracted Behavior,4:29,4:46,7,No
,,Rightside_window,Distracted Behavior,4:57,5:19,4,No
,,Rightside_window,Distracted Behavior,5:31,5:45,6,No
,,Rightside_window,Distracted Behavior,5:55,6:12,1,No
,,Rightside_window,Distracted Behavior,6:24,6:42,9,No
,,Rightside_window,Distracted Behavior,6:51,6:58,14,No
,,Rightside_window,Distracted Behavior,7:07,7:44,0,No
,,Rightside_window,Distracted Behavior,7:54,8:17,13,No
,,Rightside_window,Distracted Behavior,8:27,8:51,10,No
,,Rightside_window,Distracted Behavior,9:00,9:22,15,No
,,Rightside_window,Distracted Behavior,9:33,9:52,2,No
,,Rightside_window,Distracted Behavior,10:01,10:25,11,No
,Rear_view_user_id_72519_2,Rear_view,Distracted Behavior,0:00,1:50,NA,No
,,Rear_view,Distracted Behavior,1:57,2:20,5,No
,,Rear_view,Distracted Behavior,2:28,2:50,16,No
,,Rear_view,Distracted Behavior,3:01,3:26,17,No
,,Rear_view,Distracted Behavior,3:36,3:50,12,No
,,Rear_view,Distracted Behavior,4:03,4:19,3,No
,,Rear_view,Distracted Behavior,4:29,4:46,7,No
,,Rear_view,Distracted Behavior,4:57,5:19,4,No
,,Rear_view,Distracted Behavior,5:31,5:45,6,No
,,Rear_view,Distracted Behavior,5:55,6:12,1,No
,,Rear_view,Distracted Behavior,6:24,6:42,9,No
,,Rear_view,Distracted Behavior,6:51,6:58,14,No
,,Rear_view,Distracted Behavior,7:07,7:44,0,No
,,Rear_view,Distracted Behavior,7:54,8:17,13,No
,,Rear_view,Distracted Behavior,8:27,8:51,10,No
,,Rear_view,Distracted Behavior,9:00,9:22,15,No
,,Rear_view,Distracted Behavior,9:33,9:52,2,No
,,Rear_view,Distracted Behavior,10:01,10:25,11,No
,Rear_view_user_id_72519_3,Rear_view,Distracted Behavior,0:00,0:10,NA,Hat
,,Rear_view,Distracted Behavior,0:22,0:45,5,Hat
,,Rear_view,Distracted Behavior,0:55,1:20,16,Hat
,,Rear_view,Distracted Behavior,1:29,1:54,17,Hat
,,Rear_view,Distracted Behavior,2:03,2:19,12,Hat
,,Rear_view,Distracted Behavior,2:30,2:47,3,Hat
,,Rear_view,Distracted Behavior,2:56,3:08,7,Hat
,,Rear_view,Distracted Behavior,3:23,3:47,4,Hat
,,Rear_view,Distracted Behavior,3:56,4:12,6,Hat
,,Rear_view,Distracted Behavior,4:22,4:42,1,Hat
,,Rear_view,Distracted Behavior,4:51,5:09,9,Hat
,,Rear_view,Distracted Behavior,5:18,5:24,14,Hat
,,Rear_view,Distracted Behavior,5:43,5:59,0,Hat
,,Rear_view,Distracted Behavior,6:22,6:45,13,Hat
,,Rear_view,Distracted Behavior,6:52,7:18,10,Hat
,,Rear_view,Distracted Behavior,7:28,7:49,15,Hat
,,Rear_view,Distracted Behavior,8:01,8:19,2,Hat
,,Rear_view,Distracted Behavior,8:29,8:51,11,Hat
,,Rear_view,Distracted Behavior,9:01,9:23,8,Hat
,Dashboard_user_id_72519_2,Dashboard,Distracted Behavior,0:00,1:50,NA,No
,,Dashboard,Distracted Behavior,1:57,2:20,5,No
,,Dashboard,Distracted Behavior,2:28,2:50,16,No
,,Dashboard,Distracted Behavior,3:01,3:26,17,No
,,Dashboard,Distracted Behavior,3:36,3:50,12,No
,,Dashboard,Distracted Behavior,4:03,4:19,3,No
,,Dashboard,Distracted Behavior,4:29,4:46,7,No
,,Dashboard,Distracted Behavior,4:57,5:19,4,No
,,Dashboard,Distracted Behavior,5:31,5:45,6,No
,,Dashboard,Distracted Behavior,5:55,6:12,1,No
,,Dashboard,Distracted Behavior,6:24,6:42,9,No
,,Dashboard,Distracted Behavior,6:51,6:58,14,No
,,Dashboard,Distracted Behavior,7:07,7:44,0,No
,,Dashboard,Distracted Behavior,7:54,8:17,13,No
,,Dashboard,Distracted Behavior,8:27,8:51,10,No
,,Dashboard,Distracted Behavior,9:00,9:22,15,No
,,Dashboard,Distracted Behavior,9:33,9:52,2,No
,,Dashboard,Distracted Behavior,10:01,10:25,11,No
,Dashboard_user_id_72519_3,Dashboard,Distracted Behavior,0:00,0:10,NA,Hat
,,Dashboard,Distracted Behavior,0:22,0:45,5,Hat
,,Dashboard,Distracted Behavior,0:55,1:20,16,Hat
,,Dashboard,Distracted Behavior,1:29,1:54,17,Hat
